,Codes,Description,,,,,,,
,Quest No,Questionnaire number,,,,,,,
,Age,Age,,,,,,,
,Gender,Gender,,,,,,,
,Employment Category,Employment category,,,,,,,
,Education,Education,,,,,,,
,Income,Income,,,,,,,
,Location,Location,,,,,,,
,Bank,Banks you use,,,,,,,
,No of Years ,Number of years of banking relationship,,,,,,,
,Most Frequently Used Bank,Most Frequently Used Bank,,,,,,,
Possible reasons for maintaining banking relationship,,,,,,,,,
,RatQOS,Quality of service experience,,,,,,,
,RatFS,Financial stability,,,,,,,
,RatIR,Image and reputation,,,,,,,
,RatERSA,Employer requirements (Salary account),,,,,,,
,RatPOBR,Proximity of branches,,,,,,,
,RatRFF,Recommendations from family and friends ,,,,,,,
Banking Channels Usage Frequency,,,,,,,,,
,FreqBra,Branch,,,,,,,
,FreqATM,ATM,,,,,,,
,FreqPOS,POS,,,,,,,
,FreqInt,Internet banking,,,Might possibly combine some of these later,,,,
,FreqMob,Mobile (App),,,,,,,
,FreqUSSD,USSD Banking,,,,,,,
,FreqTel,Call Centre,,,,,,,
Most Frequently used Bank's ATM,,,,,,,,,
,MostfreqATM,Most Frequently used Bank's ATM,,,,,,,
Reason for Most Frequently used Bank's ATM,,,,,,,,,
,ATMproximity,Proximity,,,,,,,
,ATMqon,Quality of notes,,,,,,,
,ATMsecurity,Secure environment,,,,,,,
,ATMros,Reliability of service,,,,,,,
Devices used in Accessing Online Banking,,,,,,,,,
,Device1,Desktop,,,combine as number of devices used,,,,
,Device2,Laptop,,,,,,,
,Device3,Tablet,,,,,,,
,Device4,Smart phones,,,,,,,
Banking Activities Presently Carried out with Different Banking Channels,,,,,,,,,
,Cshwit,Cash Withdrawal,,,,,,,
,Cshdep,Cash Deposits,,,,,,,
,Fndtrf,Funds Transfer,,,combine as number of activites carried out,,,,
,Balenq,Balance Enquiry,,,,,,,
,Mkgcmp,Making Complaints,,,for a summary statistic look at a hist plot of all the activies,,,,
,Mkgpay,Making a Payment,,,,,,,
,Gtloan,Getting a Loan,,,,,,,
,Gtfnad,Getting Financial Advice,,,,,,,
,Bkfxdp,Booking Fixed Deposit/Treasury Bills,,,,,,,
Banking Activities you would like to Carry out with Different Channels in Future,,,,,,,,,
,Cshwit2,Cash Withdrawal,,,,,,,
,Cshdep2,Cash deposits,,,,,,,
,Fndtrf2,Funds Transfer,,,,,,,
,Balenq2,Balance Enquiry,,,,,,,
,mkgcmp2,Making Complaints,,,combine as sum,,,,
,Mkgpay2,Making a payment,,,,,,,
,Gtloan2,Getting a loan,,,,,,,
,Gtfnad2,Getting Financial Advice,,,,,,,
,Bkfxdp2,Booking Fixed Deposit/Treasury Bills,,,,,,,
Customer Experience Rating,,,,,,,,,
,Importance Rating,"1- Not at all important, 2-, 3-, 4-, 5-, 6-, 7-, 8-, 9-, 10- Extremely important",,,,,,,
,Satisfaction Rating,"1- Extremely dissatisfied, 2- Very dissatisfied, 3- Dissatisfied, 4- Neutral, 5- Satisfied, 6- Very satisfied, 7- Extremely satisfied",,,,shift the rating so that neutral has zero,,,
,,,,,,,,,
,Customer Care,,,,,,,,
Importance,impcc1a,Relationship managers  professionalism,,,,,,,
Satisfaction,cc1a,Relationship managers  professionalism,,,,,,,
Importance,impcc1b,Branch staff professionalism,,,,get a single score here,,,
Satisfaction,cc1b,Branch staff professionalism,,,,,,,
Importance,impcc2,Staff knowledge and understanding of the bank’s products / services,,,,,,,
Satisfaction,cc2,Staff knowledge and understanding of the bank’s products / services,,,,,,,
Importance,impcc3,Staff ability to understand your needs and proactively offer alternatives/ useful advice,,,,,,,
Satisfaction,cc3,Staff ability to understand your needs and proactively offer alternatives/ useful advice,,,,,,,
,Complaints,,,,,,,,
Importance,impcc4,Prompt attention and response to your enquiries/ complaints,,,,,,,
Satisfaction,cc4,Prompt attention and response to your enquiries/ complaints,,,,get a single score here,,,
Importance,impcc4b,Quality of feedback on enquiries/ resolution of complaints,,,,,,,
Satisfaction,cc4b,Quality of feedback on enquiries/ resolution of complaints,,,,,,,
,Branches,,,,,,,,
Importance,qosbrn1i,Ambience – look and feel,,,,,,,
Satisfaction,qosbrn1,Ambience – look and feel,,,,,,,
Importance,qosbrn2i,Absence of long queues at branches,,,,,,,
Satisfaction,qosbrn2,Absence of long queues at branches,,,,,,,
Importance,qosbrn3i,Access to branches,,,,g,,,
Satisfaction,qosbrn3,Access to branches,,,,,,,
Importance,tat1i,Timeliness of cash deposit and withdrawals,,,,,,,
Satisfaction,tat1,Timeliness of cash deposit and withdrawals,,,,,,,
Importance,tat2i,Timeliness of funds transfers,,,,,,,
Satisfaction,tat2,Timeliness of funds transfers,,,,,,,
Importance,tat3i,Timeliness of account opening process,,,,,,,
Satisfaction,tat3,Timeliness of account opening process,,,,,,,
,ATMs ,,,,,,,,
Importance,qosatm1,Cash availability,,,,,,,
Satisfaction,qosatm1i,Cash availability,,,,,,,
Importance,qosatm2i,ATM uptime (available service on ATMs),,,,,,,
Satisfaction,qosatm2,ATM uptime (available service on ATMs),,,,,,,
Importance,qosatm3i,Security of ATM locations,,,,,,,
Satisfaction,qosatm3,Security of ATM locations,,,,,,,
Importance,qosatm4i,Access to ATMs,,,,,,,
Satisfaction,qosatm4,Access to ATMs,,,,,,,
,Mobile Banking (via applications),,,,,,,,
Importance,qosmob1i,Ease of enrolment/sign-up (Mobile Banking),,,,,,,
Satisfaction,qosmob1,Ease of enrolment/sign-up (Mobile Banking),,,,,,,
Importance,qosmob2i,Ease of navigation (Mobile Banking),,,,,,,
Satisfaction,qosmob2,Ease of navigation (Mobile Banking),,,,,,,
Importance,qosmob3i,Variety of features (Mobile Banking),,,,,,,
Satisfaction,qosmob3,Variety of features (Mobile Banking),,,,,,,
Importance,qosmob4i,Visual design – look and feel (Mobile Banking),,,,,,,
Satisfaction,qosmob4,Visual design – look and feel (Mobile Banking),,,,,,,
Importance,qosmob5i,Security (Mobile Banking),,,,,,,
Satisfaction,qosmob5,Security (Mobile Banking),,,,,,,
Importance,qosmob6i,Mobile banking system availability,,,,,,,
Satisfaction,qosmob6,Mobile banking system availability,,,,,,,
,Internet Banking,,,,,,,,
Importance,qosint1i,Ease of enrolment/sign-up (Internet Banking),,,,,,,
Satisfaction,qosint1,Ease of enrolment/sign-up (Internet Banking),,,,,,,
Importance,qosint2i,Ease of navigation (Internet Banking),,,,,,,
Satisfaction,qosint2,Ease of navigation (Internet Banking),,,,,,,
Importance,qosint3i,Variety of features (Internet Banking),,,,,,,
Satisfaction,qosint3,Variety of features (Internet Banking),,,,,,,
Importance,qosint4i,Visual design – look and feel (Internet Banking),,,,,,,
Satisfaction,qosint4,Visual design – look and feel (Internet Banking),,,,,,,
Importance,qosint5i,Security (Internet Banking),,,,,,,
Satisfaction,qosint5,Security (Internet Banking),,,,,,,
Importance,qosint6i,Internet banking system availability,,,,,,,
Satisfaction,qosint6,Internet banking system availability,,,,,,,
,Call Centre,,,,,,,,
Importance,qoscct1i,Professional/ communication skills of call centre agents,,,,,,,
Satisfaction,qoscct1,Professional/ communication skills of call centre agents,,,,,,,
Importance,qoscct2i,Length of wait times,,,,,,,
Satisfaction,qoscct2,Length of wait times,,,,,,,
Importance,qoscct3i,How well  issues are resolved,,,,,,,
Satisfaction,qoscct3,How well  issues are resolved,,,,,,,
,Social Media,,,,,,,,
Importance,qossm1i,Quality and relevance of content/ communication,,,,,,,
Satisfaction,qossm1,Quality and relevance of content/ communication,,,,,,,
Importance,qossm2i,Response time to queries,,,,,,,
Satisfaction,qossm2,Response time to queries,,,,,,,
,Cards (Debit/ Credit),,,,,,,,
Importance,qoscad1i,Issuance of cards,,,,,,,
Satisfaction,qoscad1,Issuance of cards,,,,,,,
Importance,qoscad2i,Renewal of cards,,,,,,,
Satisfaction,qoscad2,Renewal of cards,,,,,,,
Importance,qoscad3i,"Hotlisting/ replacing a lost, stolen or damaged debit/credit card)",,,,,,,
Satisfaction,qoscad3,"Hotlisting/ replacing a lost, stolen or damaged debit/credit card)",,,,,,,
Importance,qoscad4i,Customisation,,,,,,,
Satisfaction,qoscad4,Customisation,,,,,,,
,Executional Efficiency,,,,,,,,
Importance,acci,"Accuracy and completeness of information provided i.e. bank statements, advice slips, basis of bank charges/fees etc.",,,,,,,
Satisfaction,acc,"Accuracy and completeness of information provided i.e. bank statements, advice slips, basis of bank charges/fees etc.",,,,,,,
Importance,infi,"Information (e.g. alerts, statements) provided in a timely manner and easy-to-understand format",,,,,,,
Satisfaction,inf,"Information (e.g. alerts, statements) provided in a timely manner and easy-to-understand format",,,,,,,
,"Products (e.g. savings, fixed deposits, loans etc.)",,,,,,,,
Importance,prd1i,Suitability of products to your needs,,,,,,,
Satisfaction,prd1,Suitability of products to your needs,,,,,,,
Importance,prd2i,Clarity on charges and fees,,,,,,,
Satisfaction,prd2,Clarity on charges and fees,,,,,,,
,Ease of getting credit facilities,,,,,,,,
Importance,eas1i,Documentation requirements,,,,,,,
Satisfaction,eas1,Documentation requirements,,,,,,,
Importance,eas2i,Timeliness of approval & disbursement of credit facility,,,,,,,
Satisfaction,eas2,Timeliness of approval & disbursement of credit facility,,,,,,,
,Value for Money,,,,,,,,
Importance,qosci,Quality of service you get compared to what the bank charges,,,,,,,
Satisfaction,qosc,Quality of service you get compared to what the bank charges,,,,,,,
Payments Settled with Cash,,,,,,,,,
,Payuticash,"Utilities e.g. power, water, etc.",,,,,,,
,Payintcash,Internet/broadband,,,,,,,
,Paycabcash,Cable TV,,,,,,,
Payments Settled with Non-Cash Methods,,,,,,,,,
,Payuti,"Utilities e.g. power, water, etc.",,,,,,,
,Payint,Internet/broadband,,,,,,,
,Paycab,Cable TV,,,,,,,
Payments you will like to Migrate to Non-Cash Methods,,,,,,,,,
,Mig1,"Utilities e.g. power, water, etc.",,,,,,,
,Mig2,Internet/broadband,,,,,,,
,Mig3,Cable TV,,,,,,,
Loyalty Ratings,,,,,,,,,
,Rec,Will you recommend your Bank?,,,,,,,
Switching Banks,,,,,,,,,
,Changeplan,Have plans to change Bank in the next 1-3 months,,,,,,,
,FromBank,Bank you want to change from,,,,,,,
,ToBank,Bank you want to change to,,,,,,,
,ChangeReasons,Primary reason for having change plans,,,,,,,